"","last_updated_utc","region_slug","region_name","country_name","country_iso_code","country_idb_code","region_type","population","timezone","month","day","dow","ratio_20","tcp","X15"
"51",2020-06-03 10:48:22,"santos","Santos","Brazil","BR","BR","city",1416021,"America/Sao_Paulo",5,6,3,0.369923739628779,-63.0076260371221,NA
"52",2020-06-03 10:48:22,"santos","Santos","Brazil","BR","BR","city",1416021,"America/Sao_Paulo",4,22,3,0.352819770284728,-64.7180229715272,NA
"53",2020-06-03 10:48:22,"santos","Santos","Brazil","BR","BR","city",1416021,"America/Sao_Paulo",5,13,3,0.380176244461344,-61.9823755538656,NA
"54",2020-06-03 10:48:22,"leon","León","Mexico","MX","ME","city",1541995,"America/Mexico_City",4,9,4,0.165078703156338,-83.4921296843662,NA
"55",2020-06-03 10:48:22,"leon","León","Mexico","MX","ME","city",1541995,"America/Mexico_City",5,21,4,0.279493032044461,-72.0506967955539,NA
"56",2020-06-03 10:48:22,"leon","León","Mexico","MX","ME","city",1541995,"America/Mexico_City",4,2,4,0.271838114113995,-72.8161885886005,NA
"57",2020-06-03 10:48:22,"leon","León","Mexico","MX","ME","city",1541995,"America/Mexico_City",3,26,4,0.3016359936066,-69.83640063934,NA
"58",2020-06-03 10:48:22,"leon","León","Mexico","MX","ME","city",1541995,"America/Mexico_City",5,7,4,0.275797005476868,-72.4202994523132,NA
"59",2020-06-03 10:48:22,"leon","León","Mexico","MX","ME","city",1541995,"America/Mexico_City",3,19,4,0.483663846014812,-51.6336153985188,NA
"60",2020-06-03 10:48:22,"leon","León","Mexico","MX","ME","city",1541995,"America/Mexico_City",5,28,4,0.284417572958085,-71.5582427041915,NA
"61",2020-06-03 10:48:22,"br_states_piaui","Piaui","Brazil","BR","BR","state",NA,NA,5,17,7,0.341722907184254,-65.8277092815746,NA
"62",2020-06-03 10:48:22,"br_states_piaui","Piaui","Brazil","BR","BR","state",NA,NA,4,26,7,0.540578498807925,-45.9421501192075,NA
"63",2020-06-03 10:48:22,"br_states_piaui","Piaui","Brazil","BR","BR","state",NA,NA,4,12,7,0.386260456085892,-61.3739543914108,NA
"64",2020-06-03 10:48:22,"br_states_piaui","Piaui","Brazil","BR","BR","state",NA,NA,5,31,7,0.447796800041189,-55.2203199958811,NA
"65",2020-06-03 10:48:22,"br_states_piaui","Piaui","Brazil","BR","BR","state",NA,NA,4,19,7,0.456933963791819,-54.3066036208181,NA
"66",2020-06-03 10:48:22,"br_states_piaui","Piaui","Brazil","BR","BR","state",NA,NA,3,15,7,1.09364471770956,9.36447177095556,NA
"67",2020-06-03 10:48:22,"br_states_piaui","Piaui","Brazil","BR","BR","state",NA,NA,5,3,7,0.505111679675271,-49.4888320324729,NA
"68",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",6,2,2,0.208391527500678,-79.1608472499322,NA
"69",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",5,26,2,0.170586466467475,-82.9413533532525,NA
"70",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",3,10,2,0.962426027280196,-3.75739727198038,NA
"71",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",3,24,2,0.0374021933216084,-96.2597806678392,NA
"72",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",5,19,2,0.146343319655918,-85.3656680344082,NA
"73",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",4,28,2,0.105767536585592,-89.4232463414408,NA
"74",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",4,14,2,0.07115632557287,-92.884367442713,NA
"75",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",4,22,3,0.0886503821182121,-91.1349617881788,NA
"76",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",5,13,3,0.164583607213141,-83.5416392786858,NA
"77",2020-06-03 10:48:22,"guayaquil","Guayaquil","Ecuador","EC","EC","city",2513491,"America/Guayaquil",5,6,3,0.160714989385329,-83.9285010614671,NA
"78",2020-06-03 10:48:22,"santiago","Santiago","Chile","CL","CH","city",5688218,"America/Santiago",3,27,5,0.1386596402478,-86.13403597522,NA
"79",2020-06-03 10:48:22,"santiago","Santiago","Chile","CL","CH","city",5688218,"America/Santiago",4,24,5,0.202138143761354,-79.7861856238647,NA
"80",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",4,9,4,0.0960464666509739,-90.3953533349026,NA
"81",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",3,26,4,0.182882330738416,-81.7117669261584,NA
"82",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",3,19,4,0.26601940958529,-73.398059041471,NA
"83",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",4,16,4,0.0842710281477548,-91.5728971852245,NA
"84",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",5,28,4,0.325274980271551,-67.4725019728449,NA
"85",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",4,2,4,0.0564568251629145,-94.3543174837086,NA
"86",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",4,30,4,0.157696922683655,-84.2303077316345,NA
"87",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",5,7,4,0.17913651807341,-82.086348192659,NA
"88",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",5,14,4,0.175627154726957,-82.4372845273043,NA
"89",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",4,23,4,0.113061759199015,-88.6938240800985,NA
"90",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",3,12,4,1.01245786526901,1.2457865269011,NA
"91",2020-06-03 10:48:22,"country_trinidad_and_tobago","Trinidad and Tobago","Trinidad and Tobago","TT","TT","country",1399491,"America/Port_of_Spain",5,21,4,0.220597647875323,-77.9402352124677,NA
"92",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",5,17,7,0.0587869184136477,-94.1213081586352,NA
"93",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",5,31,7,0.0757392071974019,-92.4260792802598,NA
"94",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",3,22,7,0.108453145198986,-89.1546854801014,NA
"95",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",4,19,7,0.0332736430674054,-96.6726356932595,NA
"96",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",5,3,7,0.0455604039057157,-95.4439596094284,NA
"97",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",5,10,7,0.06314061972457,-93.685938027543,NA
"98",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",4,12,7,0.0557976564882971,-94.4202343511703,NA
"99",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",4,5,7,0.0545201170125489,-94.5479882987451,NA
"100",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",5,24,7,0.0525038491594848,-94.7496150840515,NA
"101",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",4,26,7,0.0492076675161964,-95.0792332483804,NA
"102",2020-06-03 10:48:22,"panamacity","Ciudad de Panamá","Panama","PA","PN","city",1061613,"America/Panama",3,15,7,0.259561483110789,-74.0438516889211,NA
"103",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",3,14,6,1.05910162018889,5.91016201888943,NA
"104",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",5,16,6,0.19073773897087,-80.926226102913,NA
"105",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",3,28,6,0.0611649725608078,-93.8835027439192,NA
"106",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",4,11,6,0.0646934889318517,-93.5306511068148,NA
"107",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",5,9,6,0.178158642105064,-82.1841357894936,NA
"108",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",4,25,6,0.0823952750279444,-91.7604724972056,NA
"109",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",3,17,2,0.835289042411936,-16.4710957588064,NA
"110",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",3,24,2,0.116401843295529,-88.3598156704471,NA
"111",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",3,31,2,0.0762893632542661,-92.3710636745734,NA
"112",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",5,12,2,0.234422211148967,-76.5577788851033,NA
"113",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",6,2,2,0.555922805102339,-44.4077194897661,NA
"114",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",3,10,2,1.0169637771989,1.69637771989002,NA
"115",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",5,5,2,0.188817330097018,-81.1182669902982,NA
"116",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",5,26,2,0.370700864979004,-62.9299135020996,NA
"117",2020-06-03 10:48:22,"medellin","Medellín","Colombia","CO","CO","city",3550671,"America/Bogota",4,28,2,0.145370719258039,-85.4629280741961,NA
"118",2020-06-03 10:48:22,"arequipa","Arequipa","Peru","PE","PE","city",769625,"America/Lima",3,23,1,0.0186231772138466,-98.1376822786153,NA
"119",2020-06-03 10:48:22,"arequipa","Arequipa","Peru","PE","PE","city",769625,"America/Lima",5,4,1,0.0527091075479291,-94.7290892452071,NA
"120",2020-06-03 10:48:22,"arequipa","Arequipa","Peru","PE","PE","city",769625,"America/Lima",5,25,1,0.161465047789857,-83.8534952210143,NA
"121",2020-06-03 10:48:22,"arequipa","Arequipa","Peru","PE","PE","city",769625,"America/Lima",3,16,1,0.907998615213113,-9.20013847868868,NA
"122",2020-06-03 10:48:22,"arequipa","Arequipa","Peru","PE","PE","city",769625,"America/Lima",5,11,1,0.0763003915857911,-92.3699608414209,NA
"123",2020-06-03 10:48:22,"arequipa","Arequipa","Peru","PE","PE","city",769625,"America/Lima",4,20,1,0.0425498885761386,-95.7450111423861,NA
"124",2020-06-03 10:48:22,"arequipa","Arequipa","Peru","PE","PE","city",769625,"America/Lima",5,18,1,0.111299094004755,-88.8700905995245,NA
"125",2020-06-03 10:48:22,"arequipa","Arequipa","Peru","PE","PE","city",769625,"America/Lima",4,27,1,0.037993382862054,-96.2006617137946,NA
"126",2020-06-03 10:48:22,"country_uruguay","Uruguay","Uruguay","UY","UR","country",3473727,"America/Montevideo",3,25,3,0.360814339244962,-63.9185660755038,NA
"127",2020-06-03 10:48:22,"country_uruguay","Uruguay","Uruguay","UY","UR","country",3473727,"America/Montevideo",3,11,3,1.11121877374028,11.1218773740284,NA
"128",2020-06-03 10:48:22,"country_uruguay","Uruguay","Uruguay","UY","UR","country",3473727,"America/Montevideo",3,18,3,0.526876456285759,-47.3123543714241,NA
"129",2020-06-03 10:48:22,"country_uruguay","Uruguay","Uruguay","UY","UR","country",3473727,"America/Montevideo",4,1,3,0.350121463215236,-64.9878536784764,NA
"130",2020-06-03 10:48:22,"country_uruguay","Uruguay","Uruguay","UY","UR","country",3473727,"America/Montevideo",4,15,3,0.443070881540495,-55.6929118459505,NA
"131",2020-06-03 10:48:22,"country_uruguay","Uruguay","Uruguay","UY","UR","country",3473727,"America/Montevideo",5,6,3,0.529885173184539,-47.0114826815461,NA
"132",2020-06-03 10:48:22,"country_uruguay","Uruguay","Uruguay","UY","UR","country",3473727,"America/Montevideo",4,8,3,0.375630702530235,-62.4369297469765,NA
"133",2020-06-03 10:48:22,"country_uruguay","Uruguay","Uruguay","UY","UR","country",3473727,"America/Montevideo",5,27,3,0.612612718087109,-38.7387281912891,NA
